employee_id,age,years_at_company,monthly_salary,performance_score,overtime_hours,training_hours,projects_completed,absenteeism_days,bonus_pct,engagement_score,department,job_level,education,gender,marital_status,attrition_risk,salary_age_ratio,workload_index,loyalty_tier
1,60,8,9129,3,21,66,1,3,10.1,1.8,Investment Banking,Mid,Masters,Male,Married,1,152.15,9.0,Established
2,50,7,5293,3,23,45,10,3,6.7,8.0,Operations,Lead,Other,Non-binary,Divorced,0,105.86,15.2,Established
3,36,0,5391,3,3,73,1,3,13.6,6.1,Risk,Lead,PhD,Female,Married,0,149.75,1.8,New
4,29,26,11376,5,1,14,7,1,26.6,7.0,Finance,Senior,PhD,Female,Single,0,392.28,4.6,Veteran
5,42,5,4431,4,5,70,14,2,10.4,3.9,Compliance,Junior,Bachelors,Female,Divorced,1,105.5,10.4,Growing
6,60,8,12928,4,0,35,5,4,11.2,4.7,Operations,Senior,Bachelors,Female,Married,1,215.47,3.0,Established
7,40,6,5298,5,21,13,17,2,25.8,3.1,Investment Banking,Junior,Masters,Non-binary,Divorced,1,132.45,18.6,Established
8,44,3,9915,3,1,77,6,5,15.5,9.8,Treasury,Senior,Masters,Male,Married,0,225.34,4.0,Growing
9,32,12,7014,4,2,2,16,4,16.1,5.5,Risk,Lead,Other,Female,Married,0,219.19,10.4,Veteran
10,32,16,9809,3,4,66,11,4,25.8,10.0,Risk,Senior,PhD,Male,Divorced,0,306.53,8.2,Veteran
11,45,27,6367,5,3,18,10,3,14.7,5.4,Treasury,Lead,Masters,Male,Married,0,141.49,7.2,Veteran
12,57,1,7511,3,12,75,15,1,20.4,3.0,Investment Banking,Lead,PhD,Male,Single,0,131.77,13.8,New
13,61,27,8122,5,4,53,7,0,2.6,5.6,Operations,Lead,Bachelors,Female,Divorced,0,133.15,5.8,Veteran
14,45,4,4993,3,1,68,2,2,5.4,1.4,Risk,Senior,Bachelors,Female,Single,0,110.96,1.6,Growing
15,24,11,10222,3,2,9,12,1,12.1,9.1,Audit,Mid,Other,Female,Married,0,425.92,8.0,Veteran
16,43,26,6460,4,5,32,19,1,14.8,8.4,Investment Banking,Senior,Other,Male,Married,0,150.23,13.4,Veteran
17,23,20,7314,3,1,12,12,4,29.0,7.5,Investment Banking,Senior,Masters,Female,Divorced,0,318.0,7.6,Veteran
18,45,7,5016,4,7,50,16,1,29.1,6.5,Compliance,Mid,PhD,Female,Single,0,111.47,12.4,Established
19,51,5,2500,3,6,31,6,3,25.5,6.2,Operations,Mid,Masters,Male,Single,0,49.02,6.0,Growing
20,59,7,7426,4,10,74,3,5,9.5,10.0,Investment Banking,Lead,Masters,Female,Divorced,0,125.86,5.8,Established
21,23,17,15237,3,22,23,2,4,28.9,3.5,Treasury,Junior,PhD,Non-binary,Single,1,662.48,10.0,Veteran
22,42,2,10353,2,19,34,5,5,20.7,8.0,Investment Banking,Junior,Masters,Non-binary,Divorced,0,246.5,10.6,New
23,54,21,7942,3,23,69,11,4,11.8,6.2,Operations,Lead,Other,Non-binary,Divorced,0,147.07,15.8,Veteran
24,33,11,7211,3,2,39,3,4,21.1,9.8,Audit,Senior,PhD,Non-binary,Married,0,218.52,2.6,Veteran
25,43,28,8067,3,1,53,3,2,0.5,8.5,Investment Banking,Junior,PhD,Male,Married,0,187.6,2.2,Veteran
26,46,25,9641,3,2,43,5,0,4.4,10.0,Operations,Senior,Masters,Female,Single,0,209.59,3.8,Veteran
27,48,2,4457,3,18,61,11,2,24.9,6.3,Investment Banking,Mid,PhD,Non-binary,Divorced,0,92.85,13.8,New
28,49,21,11342,2,28,67,3,5,19.4,2.8,Finance,Mid,Other,Non-binary,Divorced,1,231.47,13.0,Veteran
29,37,5,10146,4,15,32,13,6,10.9,5.5,Treasury,Lead,Other,Female,Divorced,0,274.22,13.8,Growing
30,36,1,10154,5,0,76,8,1,15.0,7.4,Compliance,Senior,Bachelors,Male,Divorced,0,282.06,4.8,New
31,24,22,9315,3,23,55,10,0,27.2,8.0,Treasury,Lead,Bachelors,Non-binary,Married,0,388.12,15.2,Veteran
32,58,11,8058,4,4,35,2,4,18.9,1.0,Finance,Junior,Bachelors,Female,Single,1,138.93,2.8,Veteran
33,28,1,10018,4,0,53,4,4,11.9,5.5,Treasury,Junior,Bachelors,Female,Married,0,357.79,2.4,New
34,42,5,9775,3,4,18,18,5,3.6,3.1,Treasury,Junior,Masters,Non-binary,Divorced,1,232.74,12.4,Growing
35,30,16,6937,4,0,42,19,3,8.8,8.9,Compliance,Senior,Bachelors,Non-binary,Single,0,231.23,11.4,Veteran
36,60,2,6279,3,6,11,4,1,29.4,2.4,Finance,Lead,Bachelors,Female,Single,1,104.65,4.8,New
37,39,1,8305,4,3,10,9,5,13.1,7.0,Treasury,Lead,Bachelors,Female,Divorced,0,212.95,6.6,New
38,25,22,12647,1,5,69,16,2,14.2,3.4,Audit,Junior,Bachelors,Non-binary,Divorced,1,505.88,11.6,Veteran
39,46,29,4282,4,7,11,6,4,15.0,4.2,Investment Banking,Lead,Masters,Non-binary,Married,0,93.09,6.4,Veteran
40,35,19,3597,4,16,40,4,1,26.5,9.5,Treasury,Mid,Bachelors,Non-binary,Married,0,102.77,8.8,Veteran
41,30,7,8494,1,8,24,9,4,18.1,3.2,Risk,Mid,PhD,Non-binary,Divorced,1,283.13,8.6,Established
42,47,21,8152,3,4,2,13,6,20.8,1.9,Treasury,Mid,Other,Male,Divorced,0,173.45,9.4,Veteran
43,23,11,8520,5,13,2,9,1,11.7,1.6,Compliance,Mid,PhD,Female,Married,1,370.43,10.6,Veteran
44,41,25,8731,3,18,27,6,3,0.9,5.5,Risk,Lead,Masters,Non-binary,Single,0,212.95,10.8,Veteran
45,49,3,7330,4,1,22,19,2,27.9,6.8,Audit,Mid,Masters,Female,Single,0,149.59,11.8,Growing
46,28,4,12469,5,6,47,14,2,28.5,3.9,Investment Banking,Mid,Masters,Non-binary,Single,1,445.32,10.8,Growing
47,29,12,3197,4,2,66,15,4,28.5,7.2,Audit,Mid,Other,Male,Married,0,110.24,9.8,Veteran
48,56,28,5514,4,0,41,3,5,28.3,1.5,Audit,Mid,Bachelors,Female,Divorced,0,98.46,1.8,Veteran
49,35,14,7690,4,8,39,5,1,24.5,8.7,Finance,Mid,Masters,Male,Single,0,219.71,6.2,Veteran
50,38,24,3070,5,15,5,18,2,20.5,8.3,Audit,Senior,Bachelors,Female,Divorced,0,80.79,16.8,Veteran
51,57,22,7472,3,1,19,14,4,25.3,9.9,Operations,Senior,Masters,Male,Married,0,131.09,8.8,Veteran
52,61,15,12984,3,13,10,16,4,18.0,9.4,Compliance,Mid,Other,Non-binary,Married,0,212.85,14.8,Veteran
53,25,9,8062,3,15,26,14,4,4.0,4.2,Finance,Mid,PhD,Non-binary,Divorced,0,322.48,14.4,Established
54,23,29,8692,5,19,20,9,6,11.7,4.6,Risk,Lead,PhD,Male,Divorced,0,377.91,13.0,Veteran
55,27,29,4219,4,2,12,15,3,29.1,7.7,Operations,Mid,Other,Non-binary,Divorced,0,156.26,9.8,Veteran
56,25,24,6150,2,18,34,7,4,10.5,2.2,Finance,Junior,Bachelors,Male,Divorced,1,246.0,11.4,Veteran
57,50,22,6874,5,3,46,14,4,26.0,3.8,Compliance,Senior,Masters,Male,Single,1,137.48,9.6,Veteran
58,39,15,7046,3,6,27,6,1,2.8,2.1,Risk,Mid,PhD,Female,Divorced,1,180.67,6.0,Veteran
59,47,11,11844,2,0,20,15,2,10.0,5.1,Compliance,Senior,Other,Male,Single,0,252.0,9.0,Veteran
60,55,16,9673,4,0,17,8,1,10.5,6.0,Compliance,Mid,Bachelors,Female,Married,0,175.87,4.8,Veteran
61,31,15,4665,3,10,30,2,2,1.5,2.9,Risk,Junior,PhD,Male,Single,1,150.48,5.2,Veteran
62,57,11,8739,5,4,59,8,1,3.6,1.2,Audit,Mid,Other,Female,Divorced,0,153.32,6.4,Veteran
